# reference: 240775
# type: subset_sum
693 693
979 979
607 607
976 976
940 940
458 458
784 784
836 836
598 598
829 829
764 764
546 546
496 496
894 894
657 657
996 996
698 698
834 834
873 873
806 806
366 366
917 917
88 88
119 119
201 201
134 134
98 98
649 649
12 12
678 678
579 579
705 705
300 300
334 334
288 288
253 253
840 840
537 537
450 450
568 568
650 650
836 836
423 423
109 109
156 156
701 701
250 250
157 157
714 714
592 592
270 270
506 506
566 566
232 232
345 345
821 821
403 403
508 508
690 690
50 50
813 813
821 821
477 477
538 538
478 478
116 116
408 408
774 774
779 779
957 957
123 123
430 430
139 139
914 914
404 404
341 341
774 774
320 320
146 146
506 506
455 455
186 186
888 888
344 344
399 399
929 929
189 189
137 137
865 865
219 219
823 823
3 3
143 143
465 465
457 457
807 807
469 469
802 802
712 712
127 127
843 843
916 916
916 916
947 947
800 800
299 299
737 737
752 752
675 675
683 683
242 242
691 691
308 308
711 711
642 642
558 558
228 228
118 118
852 852
468 468
391 391
181 181
910 910
647 647
568 568
378 378
143 143
143 143
898 898
755 755
10 10
935 935
733 733
764 764
666 666
869 869
82 82
449 449
330 330
937 937
271 271
687 687
690 690
21 21
170 170
905 905
854 854
733 733
237 237
996 996
900 900
372 372
597 597
230 230
720 720
413 413
636 636
158 158
359 359
746 746
24 24
883 883
843 843
953 953
769 769
944 944
443 443
290 290
105 105
550 550
729 729
412 412
858 858
87 87
815 815
79 79
399 399
925 925
640 640
159 159
862 862
257 257
114 114
683 683
22 22
756 756
661 661
406 406
518 518
773 773
543 543
457 457
930 930
131 131
155 155
112 112
422 422
278 278
825 825
884 884
4 4
742 742
280 280
103 103
162 162
833 833
499 499
69 69
821 821
21 21
85 85
542 542
673 673
147 147
880 880
792 792
836 836
570 570
987 987
537 537
14 14
434 434
374 374
735 735
12 12
639 639
88 88
574 574
246 246
573 573
124 124
159 159
226 226
674 674
615 615
206 206
199 199
641 641
466 466
456 456
66 66
810 810
236 236
3 3
137 137
585 585
87 87
78 78
215 215
846 846
228 228
823 823
842 842
829 829
86 86
647 647
140 140
8 8
28 28
9 9
758 758
910 910
530 530
695 695
714 714
930 930
301 301
882 882
566 566
734 734
493 493
557 557
757 757
757 757
875 875
272 272
289 289
450 450
315 315
502 502
57 57
559 559
787 787
700 700
774 774
454 454
453 453
310 310
982 982
940 940
641 641
296 296
719 719
429 429
971 971
584 584
975 975
824 824
713 713
108 108
38 38
537 537
879 879
590 590
191 191
635 635
357 357
790 790
761 761
254 254
760 760
782 782
180 180
405 405
328 328
24 24
686 686
156 156
975 975
744 744
135 135
11 11
56 56
465 465
899 899
735 735
28 28
274 274
614 614
763 763
926 926
465 465
93 93
243 243
573 573
958 958
777 777
288 288
960 960
97 97
430 430
844 844
394 394
844 844
57 57
819 819
540 540
829 829
172 172
773 773
882 882
780 780
368 368
365 365
769 769
38 38
583 583
43 43
910 910
845 845
657 657
498 498
230 230
620 620
798 798
437 437
577 577
210 210
984 984
462 462
217 217
595 595
578 578
505 505
38 38
457 457
176 176
203 203
451 451
693 693
913 913
896 896
795 795
47 47
861 861
789 789
905 905
570 570
647 647
744 744
907 907
472 472
72 72
476 476
764 764
99 99
434 434
429 429
86 86
418 418
951 951
922 922
962 962
78 78
476 476
279 279
443 443
301 301
373 373
953 953
60 60
702 702
125 125
360 360
400 400
535 535
92 92
186 186
624 624
625 625
262 262
189 189
249 249
115 115
365 365
907 907
757 757
319 319
596 596
978 978
897 897
703 703
43 43
659 659
904 904
335 335
516 516
831 831
149 149
582 582
737 737
837 837
704 704
232 232
236 236
17 17
170 170
71 71
100 100
14 14
386 386
791 791
965 965
424 424
828 828
77 77
451 451
771 771
784 784
682 682
553 553
419 419
63 63
66 66
770 770
273 273
217 217
825 825
803 803
464 464
797 797
307 307
555 555
402 402
764 764
631 631
124 124
689 689
196 196
157 157
863 863
838 838
915 915
557 557
505 505
146 146
420 420
41 41
509 509
808 808
772 772
806 806
582 582
664 664
553 553
267 267
104 104
347 347
297 297
235 235
868 868
868 868
437 437
422 422
579 579
786 786
828 828
475 475
377 377
720 720
442 442
73 73
577 577
996 996
914 914
318 318
507 507
395 395
957 957
435 435
824 824
414 414
923 923
131 131
268 268
474 474
645 645
66 66
653 653
83 83
480 480
741 741
952 952
151 151
108 108
335 335
581 581
180 180
348 348
339 339
413 413
762 762
416 416
540 540
885 885
405 405
825 825
545 545
860 860
845 845
752 752
407 407
658 658
259 259
488 488
977 977
661 661
3 3
847 847
349 349
361 361
11 11
951 951
665 665
115 115
521 521
785 785
405 405
423 423
880 880
604 604
867 867
216 216
46 46
782 782
119 119
623 623
895 895
18 18
303 303
439 439
841 841
5 5
926 926
785 785
862 862
676 676
321 321
164 164
271 271
542 542
118 118
694 694
310 310
892 892
233 233
881 881
818 818
231 231
963 963
988 988
108 108
275 275
609 609
72 72
639 639
802 802
697 697
540 540
700 700
903 903
850 850
902 902
483 483
169 169
105 105
308 308
976 976
521 521
524 524
551 551
299 299
826 826
1000 1000
372 372
135 135
486 486
848 848
989 989
260 260
209 209
230 230
134 134
983 983
676 676
286 286
