# reference: 243723
# type: strongly_correlated
546 536
373 363
82 72
379 369
206 196
638 628
278 268
230 220
452 442
16 6
721 711
960 950
822 812
66 56
714 704
602 592
459 449
418 408
223 213
902 892
364 354
429 419
777 767
280 270
377 367
566 556
567 557
915 905
378 368
65 55
406 396
902 892
48 38
219 209
965 955
313 303
842 832
424 414
55 45
250 240
404 394
591 581
247 237
880 870
477 467
574 564
200 190
191 181
47 37
855 845
155 145
842 832
377 367
739 729
946 936
63 53
118 108
664 654
951 941
277 267
809 799
115 105
998 988
413 403
322 312
208 198
312 302
841 831
382 372
690 680
921 911
777 767
35 25
304 294
595 585
110 100
21 11
404 394
822 812
548 538
674 664
683 673
914 904
362 352
405 395
76 66
63 53
205 195
846 836
695 685
20 10
719 709
963 953
484 474
728 718
62 52
123 113
195 185
844 834
69 59
882 872
78 68
722 712
411 401
363 353
343 333
464 454
445 435
676 666
968 958
628 618
98 88
1010 1000
842 832
509 499
778 768
859 849
880 870
955 945
961 951
780 770
35 25
933 923
829 819
367 357
149 139
459 449
230 220
333 323
620 610
750 740
973 963
649 639
544 534
821 811
853 843
462 452
256 246
234 224
527 517
678 668
894 884
986 976
223 213
105 95
414 404
448 438
382 372
920 910
546 536
974 964
795 785
548 538
401 391
179 169
209 199
326 316
959 949
873 863
448 438
708 698
933 923
537 527
906 896
502 492
358 348
681 671
377 367
42 32
896 886
955 945
557 547
144 134
718 708
940 930
969 959
286 276
584 574
623 613
809 799
